time,a.world_vel.ωx,a.world_vel.ωy,a.world_vel.ωz,a.world_vel.x,a.world_vel.y,a.world_vel.z
2026-03-20T06:13:34.172233,0.0,0.0,0.0,0.0,0.9957939373,0.0
2026-03-20T06:13:34.175097,0.0,0.0,0.0,-0.01007550920222722,0.9957606125707259,0.0
2026-03-20T06:13:34.183430,0.0,0.0,0.0,-0.020148254345186228,0.9956606066593724,0.0
2026-03-20T06:13:34.191763,0.0,0.0,0.0,-0.03021548304382542,0.9954938199778243,0.0
2026-03-20T06:13:34.200096,0.0,0.0,0.0,-0.04027446570159461,0.9952600876077708,0.0
2026-03-20T06:13:34.208429,0.0,0.0,0.0,-0.050322506520728796,0.9949591808839893,0.0
2026-03-20T06:13:34.216762,0.0,0.0,0.0,-0.06035695406155138,0.994590809565893,0.0
2026-03-20T06:13:34.225095,0.0,0.0,0.0,-0.07037521121852118,0.9941546245540792,0.0
2026-03-20T06:13:34.233428,0.0,0.0,0.0,-0.08037474449527944,0.9936502210988352,0.0
2026-03-20T06:13:34.241761,0.0,0.0,0.0,-0.0903530924779864,0.9930771424395424,0.0
2026-03-20T06:13:34.250094,0.0,0.0,0.0,-0.10030787342511636,0.9924348838078518,0.0
2026-03-20T06:13:34.258427,0.0,0.0,0.0,-0.1102367919119101,0.9917228967234939,0.0
2026-03-20T06:13:34.266760,0.0,0.0,0.0,-0.12013764448816196,0.99094059350965,0.0
2026-03-20T06:13:34.275093,0.0,0.0,0.0,-0.13000832432827608,0.9900873519548767,0.0
2026-03-20T06:13:34.283426,0.0,0.0,0.0,-0.13984682487194772,0.9891625200504826,0.0
2026-03-20T06:13:34.291759,0.0,0.0,0.0,-0.14965124247188336,0.9881654207358089,0.0
2026-03-20T06:13:34.300092,0.0,0.0,0.0,-0.1594197780812374,0.9870953565887955,0.0
2026-03-20T06:13:34.308425,0.0,0.0,0.0,-0.16915073802759198,0.9859516144052384,0.0
2026-03-20T06:13:34.316758,0.0,0.0,0.0,-0.178842533932133,0.9847334696169723,0.0
2026-03-20T06:13:34.325091,0.0,0.0,0.0,-0.18849368184207543,0.9834401905065405,0.0
2026-03-20T06:13:34.333424,0.0,0.0,0.0,-0.19810280065136396,0.9820710421834715,0.0
2026-03-20T06:13:34.341757,0.0,0.0,0.0,-0.20766860988930255,0.9806252902948208,0.0
2026-03-20T06:13:34.350090,0.0,0.0,0.0,-0.21718992695920064,0.9791022044499335,0.0
2026-03-20T06:13:34.358423,0.0,0.0,0.0,-0.22666566390957277,0.9775010613462674,0.0
2026-03-20T06:13:34.366756,0.0,0.0,0.0,-0.23609482381913427,0.9758211475894506,0.0
2026-03-20T06:13:34.375089,0.0,0.0,0.0,-0.24547649687406461,0.9740617622064285,0.0
2026-03-20T06:13:34.383422,0.0,0.0,0.0,-0.25480985621203356,0.9722222188555303,0.0
2026-03-20T06:13:34.391755,0.0,0.0,0.0,-0.26409415360257354,0.970301847741525,0.0
2026-03-20T06:13:34.400088,0.0,0.0,0.0,-0.2733287150277877,0.9682999972472371,0.0
2026-03-20T06:13:34.408421,0.0,0.0,0.0,-0.2825129362213422,0.9662160352960912,0.0
2026-03-20T06:13:34.416754,0.0,0.0,0.0,-0.29164627821741124,0.9640493504620798,0.0
2026-03-20T06:13:34.425087,0.0,0.0,0.0,-0.30072826295490535,0.9617993528451731,0.0
2026-03-20T06:13:34.433420,0.0,0.0,0.0,-0.3097584689760669,0.9594654747311633,0.0
2026-03-20T06:13:34.441753,0.0,0.0,0.0,-0.3187365272524835,0.9570471710554408,0.0
2026-03-20T06:13:34.450086,0.0,0.0,0.0,-0.3276621171658479,0.9545439196903006,0.0
2026-03-20T06:13:34.458419,0.0,0.0,0.0,-0.33653496266544375,0.9519552215751448,0.0
2026-03-20T06:13:34.466752,0.0,0.0,0.0,-0.3453548286194161,0.94928060070845,0.0
2026-03-20T06:13:34.475085,0.0,0.0,0.0,-0.3541215173724125,0.9465196040196672,0.0
2026-03-20T06:13:34.483418,0.0,0.0,0.0,-0.36283486551817057,0.9436718011383679,0.0
2026-03-20T06:13:34.491751,0.0,0.0,0.0,-0.37149474089207735,0.9407367840770025,0.0
2026-03-20T06:13:34.500084,0.0,0.0,0.0,-0.38010103978561915,0.9377141668426237,0.0
2026-03-20T06:13:34.508417,0.0,0.0,0.0,-0.3886536843819599,0.9346035849919022,0.0
2026-03-20T06:13:34.516750,0.0,0.0,0.0,-0.39715262040959903,0.9314046951427356,0.0
2026-03-20T06:13:34.525083,0.0,0.0,0.0,-0.4055978150091416,0.9281171744547635,0.0
2026-03-20T06:13:34.533416,0.0,0.0,0.0,-0.4139892548066236,0.9247407200901645,0.0
2026-03-20T06:13:34.541749,0.0,0.0,0.0,-0.4223269441855446,0.921275048665234,0.0
2026-03-20T06:13:34.550082,0.0,0.0,0.0,-0.430610903748732,0.9177198957024472,0.0
2026-03-20T06:13:34.558415,0.0,0.0,0.0,-0.4388411689603593,0.9140750150919924,0.0
2026-03-20T06:13:34.566748,0.0,0.0,0.0,-0.44701778895784144,0.910340178571134,0.0
2026-03-20T06:13:34.575081,0.0,0.0,0.0,-0.45514082552289153,0.9065151752292144,0.0
2026-03-20T06:13:34.583414,0.0,0.0,0.0,-0.46321035220072737,0.9025998110456535,0.0
2026-03-20T06:13:34.591747,0.0,0.0,0.0,-0.4712264535562322,0.8985939084679241,0.0
2026-03-20T06:13:34.600080,0.0,0.0,0.0,-0.4791892245557782,0.8944973060361914,0.0
2026-03-20T06:13:34.608413,0.0,0.0,0.0,-0.487098770063396,0.8903098580610784,0.0
2026-03-20T06:13:34.616746,0.0,0.0,0.0,-0.4949552044399963,0.8860314343608706,0.0
2026-03-20T06:13:34.625079,0.0,0.0,0.0,-0.502758651234406,0.8816619200643777,0.0
2026-03-20T06:13:34.633412,0.0,0.0,0.0,-0.5105092429550567,0.8772012154856328,0.0
2026-03-20T06:13:34.641745,0.0,0.0,0.0,-0.5182071209112428,0.8726492360766138,0.0
2026-03-20T06:13:34.650078,0.0,0.0,0.0,-0.5258524351129437,0.8680059124642143,0.0
2026-03-20T06:13:34.658411,0.0,0.0,0.0,-0.5334453442182653,0.8632711905777567,0.0
2026-03-20T06:13:34.666744,0.0,0.0,0.0,-0.540986015517596,0.8584450318734234,0.0
2026-03-20T06:13:34.675077,0.0,0.0,0.0,-0.5484746249435849,0.8535274136620671,0.0
2026-03-20T06:13:34.683410,0.0,0.0,0.0,-0.5559113570960303,0.8485183295469386,0.0
2026-03-20T06:13:34.691743,0.0,0.0,0.0,-0.5632964052707119,0.8434177899779232,0.0
2026-03-20T06:13:34.700076,0.0,0.0,0.0,-0.5706299714811072,0.8382258229288961,0.0
2026-03-20T06:13:34.708409,0.0,0.0,0.0,-0.5779122664618076,0.832942474704771,0.0
2026-03-20T06:13:34.716742,0.0,0.0,0.0,-0.5851435096422827,0.8275678108847072,0.0
2026-03-20T06:13:34.725075,0.0,0.0,0.0,-0.5923239290794494,0.8221019174077504,0.0
2026-03-20T06:13:34.733408,0.0,0.0,0.0,-0.5994537613372819,0.816544901806872,0.0
2026-03-20T06:13:34.741741,0.0,0.0,0.0,-0.6065332513014556,0.8108968945969396,0.0
2026-03-20T06:13:34.750074,0.0,0.0,0.0,-0.6135626519167744,0.8051580508215603,0.0
2026-03-20T06:13:34.758407,0.0,0.0,0.0,-0.6205422238348799,0.7993285517629692,0.0
2026-03-20T06:13:34.766740,0.0,0.0,0.0,-0.6274722349595178,0.7934086068181637,0.0
2026-03-20T06:13:34.775073,0.0,0.0,0.0,-0.6343529598764426,0.7873984555432836,0.0
2026-03-20T06:13:34.783406,0.0,0.0,0.0,-0.64118467915491,0.7812983698667787,0.0
2026-03-20T06:13:34.791739,0.0,0.0,0.0,-0.6479676785076515,0.7751086564701697,0.0
2026-03-20T06:13:34.800072,0.0,0.0,0.0,-0.654702247796288,0.7688296593331658,0.0
2026-03-20T06:13:34.808405,0.0,0.0,0.0,-0.6613886798693349,0.7624617624375397,0.0
2026-03-20T06:13:34.816738,0.0,0.0,0.0,-0.6680272692203306,0.7560053926214508,0.0
2026-03-20T06:13:34.825071,0.0,0.0,0.0,-0.6746183104542128,0.7494610225728521,0.0
2026-03-20T06:13:34.833404,0.0,0.0,0.0,-0.6811620965509132,0.7428291739471982,0.0
2026-03-20T06:13:34.841737,0.0,0.0,0.0,-0.6876589169162888,0.7361104205909105,0.0
2026-03-20T06:13:34.850070,0.0,0.0,0.0,-0.6941090552119995,0.7293053918479552,0.0
2026-03-20T06:13:34.858403,0.0,0.0,0.0,-0.7005127869578137,0.7224147759224944,0.0
2026-03-20T06:13:34.866736,0.0,0.0,0.0,-0.7068703769021268,0.7154393232659169,0.0
2026-03-20T06:13:34.875069,0.0,0.0,0.0,-0.7131820761592422,0.7083798499517181,0.0
2026-03-20T06:13:34.883402,0.0,0.0,0.0,-0.7194481191152164,0.7012372409967582,0.0
2026-03-20T06:13:34.891735,0.0,0.0,0.0,-0.7256687201078407,0.6940124535824984,0.0
2026-03-20T06:13:34.900068,0.0,0.0,0.0,-0.7318440698906076,0.6867065201250243,0.0
2026-03-20T06:13:34.908401,0.0,0.0,0.0,-0.737974331895299,0.6793205511381688,0.0
2026-03-20T06:13:34.916734,0.0,0.0,0.0,-0.7440596383130882,0.6718557378300234,0.0
2026-03-20T06:13:34.925067,0.0,0.0,0.0,-0.7501000860197158,0.6643133543697668,0.0
2026-03-20T06:13:34.933400,0.0,0.0,0.0,-0.756095732376306,0.656694759759258,0.0
2026-03-20T06:13:34.941733,0.0,0.0,0.0,-0.7620465909435996,0.6490013992424525,0.0
2026-03-20T06:13:34.950066,0.0,0.0,0.0,-0.7679526271536735,0.6412348051856288,0.0
2026-03-20T06:13:34.958399,0.0,0.0,0.0,-0.7738137539893958,0.6333965973628639,0.0
2026-03-20T06:13:34.966732,0.0,0.0,0.0,-0.7796298277277379,0.6254884825843645,0.0
2026-03-20T06:13:34.975065,0.0,0.0,0.0,-0.7854006438083951,0.6175122536103012,0.0
2026-03-20T06:13:34.983398,0.0,0.0,0.0,-0.7911259328937029,0.6094697872998133,0.0
2026-03-20T06:13:34.991731,0.0,0.0,0.0,-0.7968053571893228,0.6013630419539038,0.0
2026-03-20T06:13:35.000064,0.0,0.0,0.0,-0.8024385070973425,0.5931940538220006,0.0
